(50, 7, 53, 89, 220) (50, 89, 79, 97, 216)
(60, 67, 79, 101, 214) (60, 109, 107, 113, 206)
(70, 73, 61, 101, 206) (70, 131, 97, 139, 196)
(80, 7, 113, 131, 199) (80, 103, 17, 157, 186)
(90, 71, 157, 167, 191) (90, 139, 157, 179, 176)
(100, 163, 37, 167, 185) (100, 31, 167, 197, 167)
(110, 29, 43, 167, 181) (110, 29, 73, 179, 158)
(120, 113, 127, 167, 176) (120, 181, 127, 239, 148)
(71, 73, 61, 101, 205) (71, 137, 73, 139, 195)
(73, 73, 59, 101, 205) (73, 131, 137, 139, 193)
(79, 7, 113, 131, 201) (79, 149, 113, 157, 187)
(83, 47, 89, 101, 197) (83, 31, 127, 163, 183)
(89, 17, 131, 167, 192) (89, 89, 59, 173, 177)
(97, 149, 47, 167, 188) (97, 61, 109, 181, 169)
(101, 139, 47, 167, 186) (101, 23, 167, 197, 166)
(103, 107, 11, 167, 184) (103, 67, 157, 181, 164)
(107, 131, 47, 167, 182) (107, 89, 163, 197, 162)
(109, 29, 43, 167, 181) (109, 47, 197, 199, 160)
