(50, 43, 47, 71, 110) (50, 79, 31, 97, 101)
(60, 47, 61, 113, 103) (60, 17, 47, 107, 91)
(70, 113, 97, 137, 98) (70, 101, 7, 127, 83)
(80, 113, 107, 137, 96) (80, 41, 139, 157, 76)
(90, 103, 61, 137, 92) (90, 97, 23, 107, 69)
(100, 61, 83, 137, 90) (100, 137, 61, 199, 63)
(110, 113, 79, 137, 83) (110, 59, 103, 199, 59)
(120, 109, 67, 137, 80) (120, 199, 101, 229, 55)
(71, 67, 47, 137, 98) (71, 79, 53, 89, 82)
(73, 61, 113, 137, 97) (73, 97, 41, 107, 81)
(79, 137, 131, 139, 95) (79, 47, 127, 151, 77)
(83, 71, 17, 137, 95) (83, 47, 151, 157, 75)
(89, 13, 23, 137, 93) (89, 79, 17, 107, 70)
(97, 113, 89, 137, 89) (97, 41, 107, 181, 65)
(101, 3, 13, 137, 88) (101, 179, 191, 199, 63)
(103, 47, 173, 193, 87) (103, 113, 97, 199, 60)
(107, 61, 79, 137, 86) (107, 11, 5, 199, 60)
(109, 73, 3, 137, 85) (109, 193, 37, 199, 60)
